a,b,num_digits,algorithm,stdout,stderr,time
2,1,0,16,1,,0.01
2,1,0,1,1,,0.0
2,1,0,2,1,,0.01
2,1,0,32,1,,0.01
2,1,0,4,1,,0.01
2,1,0,8,1,,0.02
2,1,10,16,0.00057631,,0.07
2,1,10,1,0.00057631,,0.06
2,1,10,2,0.00057631,,0.07
2,1,10,32,0.00057631,,0.07
2,1,10,4,0.00057631,,0.07
2,1,10,8,0.00057631,,0.07
2,1,11,16,0.000251887,,0.07
2,1,11,1,0.000251887,,0.3
2,1,11,2,0.000251887,,0.17
2,1,11,32,0.000251887,,0.05
2,1,11,4,0.000251887,,0.1
2,1,11,8,0.000251887,,0.07
2,1,12,16,0.000110501,,0.22
2,1,12,1,0.000110501,,1.22
2,1,12,2,0.000110501,,0.67
2,1,12,32,0.000110501,,0.16
2,1,12,4,0.000110501,,0.4
2,1,12,8,0.000110501,,0.22
2,1,1,16,0.495094,,0.0
2,1,1,1,0.495094,,0.0
2,1,1,2,0.495094,,0.0
2,1,1,32,0.495094,,0.01
2,1,1,4,0.495094,,0.0
2,1,1,8,0.495094,,0.0
2,1,2,16,0.313708,,0.01
2,1,2,1,0.313708,,0.01
2,1,2,2,0.313708,,0.01
2,1,2,32,0.313708,,0.0
2,1,2,4,0.313708,,0.01
2,1,2,8,0.313708,,0.01
2,1,3,16,0.149584,,0.01
2,1,3,1,0.149584,,0.0
2,1,3,2,0.149584,,0.0
2,1,3,32,0.149584,,0.0
2,1,3,4,0.149584,,0.0
2,1,3,8,0.149584,,0.0
2,1,4,16,0.0689576,,0.0
2,1,4,1,0.0689576,,0.01
2,1,4,2,0.0689576,,0.0
2,1,4,32,0.0689576,,0.0
2,1,4,4,0.0689576,,0.0
2,1,4,8,0.0689576,,0.0
2,1,5,16,0.0326133,,0.02
2,1,5,1,0.0326133,,0.0
2,1,5,2,0.0326133,,0.0
2,1,5,32,0.0326133,,0.01
2,1,5,4,0.0326133,,0.0
2,1,5,8,0.0326133,,0.0
2,1,6,16,0.01431,,0.01
2,1,6,1,0.01431,,0.01
2,1,6,2,0.01431,,0.01
2,1,6,32,0.01431,,0.01
2,1,6,4,0.01431,,0.0
2,1,6,8,0.01431,,0.0
2,1,7,16,0.00655439,,0.01
2,1,7,1,0.00655439,,0.0
2,1,7,2,0.00655439,,0.0
2,1,7,32,0.00655439,,0.01
2,1,7,4,0.00655439,,0.0
2,1,7,8,0.00655439,,0.01
2,1,8,16,0.00292835,,0.01
2,1,8,1,0.00292835,,0.01
2,1,8,2,0.00292835,,0.01
2,1,8,32,0.00292835,,0.01
2,1,8,4,0.00292835,,0.01
2,1,8,8,0.00292835,,0.01
2,1,9,16,0.00128213,,0.02
2,1,9,1,0.00128213,,0.02
2,1,9,2,0.00128213,,0.02
2,1,9,32,0.00128213,,0.02
2,1,9,4,0.00128213,,0.02
2,1,9,8,0.00128213,,0.02
