a,b,num_digits,stdout,time
2,2,0,1,0.01
2,2,10,0.000223822,0.38
2,2,11,8.90491e-05,1.91
2,2,12,3.45416e-05,10.92
2,2,13,1.36283e-05,69.08
2,2,14,5.23954e-06,442.79
2,2,15,2.04342e-06,2871.02
2,2,1,0.532692,0.01
2,2,2,0.258975,0.01
2,2,3,0.117204,0.0
2,2,4,0.0489595,0.0
2,2,5,0.0217275,0.0
2,2,6,0.00854171,0.0
2,2,7,0.00358089,0.01
2,2,8,0.00140259,0.03
2,2,9,0.000574318,0.08
3,1,0,1,0.0
3,1,10,3.4369e-05,10.79
3,1,11,1.13608e-05,94.48
3,1,12,3.6541e-06,860.75
3,1,1,0.408327,0.0
3,1,2,0.19318,0.01
3,1,3,0.0694819,0.0
3,1,4,0.0231766,0.01
3,1,5,0.008346,0.01
3,1,6,0.00280795,0.01
3,1,7,0.000946575,0.03
3,1,8,0.000324424,0.19
3,1,9,0.000107513,1.36
3,2,0,1,0.01
3,2,10,1.87417e-05,36.08
3,2,11,5.71437e-06,386.61
3,2,12,1.71167e-06,4071.67
3,2,1,0.434658,0.0
3,2,2,0.179891,0.01
3,2,3,0.0610628,0.01
3,2,4,0.0195642,0.0
3,2,5,0.00655107,0.01
3,2,6,0.00204415,0.02
3,2,7,0.000653612,0.09
3,2,8,0.00019983,0.44
3,2,9,6.21637e-05,3.88
3,3,0,1,0.01
3,3,10,1.2468e-05,100.19
3,3,11,3.57676e-06,1206.91
3,3,1,0.471717,0.0
3,3,2,0.17681,0.01
3,3,3,0.0598226,0.0
3,3,4,0.018107,0.0
3,3,5,0.00575006,0.01
3,3,6,0.00172239,0.04
3,3,7,0.000514576,0.13
3,3,8,0.000150171,0.91
3,3,9,4.34523e-05,8.84
4,1,0,1,0.01
4,1,10,3.62347e-06,1025.94
4,1,1,0.377088,0.01
4,1,2,0.133799,0.02
4,1,3,0.038963,0.01
4,1,4,0.0106826,0.02
4,1,5,0.0029429,0.01
4,1,6,0.00079517,0.05
4,1,7,0.000209576,0.44
4,1,8,5.44149e-05,5.29
4,1,9,1.41311e-05,69.31
4,2,0,1,0.01
4,2,10,2.45936e-06,2379.87
4,2,1,0.397959,0.0
4,2,2,0.128827,0.01
4,2,3,0.0369934,0.01
4,2,4,0.00937728,0.01
4,2,5,0.00258416,0.02
4,2,6,0.000638463,0.07
4,2,7,0.000164877,0.84
4,2,8,4.04814e-05,9.73
4,2,9,1.00766e-05,146.81
4,3,0,1,0.02
4,3,10,1.83833e-06,4843.11
4,3,1,0.414669,0.01
4,3,2,0.120456,0.01
4,3,3,0.0350689,0.0
4,3,4,0.00895253,0.0
4,3,5,0.00229396,0.02
4,3,6,0.000563941,0.11
4,3,7,0.000138538,1.16
4,3,8,3.29061e-05,16.16
4,3,9,7.90713e-06,271.2
4,4,0,1,0.02
4,4,1,0.428427,0.01
4,4,2,0.126227,0.01
4,4,3,0.0349029,0.0
4,4,4,0.00870761,0.0
4,4,5,0.00219727,0.01
4,4,6,0.000513096,0.12
4,4,7,0.000122579,1.77
4,4,8,2.81002e-05,25.8
4,4,9,6.49649e-06,489.58
5,1,0,1,0.0
5,1,1,0.351648,0.0
5,1,2,0.107224,0.0
5,1,3,0.0246804,0.01
5,1,4,0.00587515,0.01
5,1,5,0.00131257,0.05
5,1,6,0.000290986,0.34
5,1,7,6.3064e-05,4.89
5,1,8,1.349e-05,94.77
5,1,9,2.85191e-06,2033.36
5,2,0,1,0.01
5,2,1,0.361407,0.01
5,2,2,0.100576,0.01
5,2,3,0.024081,0.02
5,2,4,0.00528814,0.01
5,2,5,0.00115665,0.04
5,2,6,0.000242282,0.49
5,2,7,5.13765e-05,6.8
5,2,8,1.06645e-05,141.95
5,2,9,2.18918e-06,3368.4
5,3,0,1,0.03
5,3,1,0.373573,0.01
5,3,2,0.0936314,0.0
5,3,3,0.0230746,0.01
5,3,4,0.00489386,0.01
5,3,5,0.0010749,0.04
5,3,6,0.00022012,0.65
5,3,7,4.58678e-05,9.26
5,3,8,9.1427e-06,213.68
5,4,0,1,0.02
5,4,1,0.38981,0.01
5,4,2,0.0957907,0.01
5,4,3,0.0232579,0.02
5,4,4,0.00485861,0.02
5,4,5,0.00104403,0.07
5,4,6,0.000207874,0.65
5,4,7,4.22694e-05,12.24
5,4,8,8.19095e-06,301.54
5,5,0,1,0.01
5,5,1,0.40405,0.01
5,5,2,0.102736,0.0
5,5,3,0.0236594,0.01
5,5,4,0.00487412,0.01
5,5,5,0.00101545,0.07
5,5,6,0.000200217,0.86
5,5,7,3.92234e-05,16.19
5,5,8,7.50523e-06,426.16
